# CPU: 12th Gen Intel(R) Core(TM) i5-12600KF
# CPU Frequency: 3.69 GHz
# Compiler: Clang 19.1.5
# 
kernel,implementation,data_type,array_size,aligned,stride,time_seconds,gflops,cpe,bandwidth_gbs,speedup,run_id,compiler_flags
elementwise_multiply,vectorized,f64,1048576,1,1,0.000669698,1641802.167,2.354,37.578,1.000,237,vectorized
stencil_3point,vectorized,f64,1048576,1,1,0.000374248,14689612.612,1.316,67.244,0.955,238,vectorized
memory_bandwidth,vectorized,f64,1048576,1,1,0.000338522,3247976.873,1.190,49.560,0.963,239,vectorized
axpy,scalar,f32,4194304,0,1,0.001259677,27931264.989,1.107,39.956,0.000,240,vectorized
dot_product,scalar,f32,4194304,0,1,0.000989740,35549105.908,0.870,33.902,0.000,241,vectorized
elementwise_multiply,scalar,f32,4194304,0,1,0.002025718,8684420.064,1.780,24.846,0.000,242,vectorized
stencil_3point,scalar,f32,4194304,0,1,0.001221542,72008109.614,1.074,41.203,0.000,243,vectorized
memory_bandwidth,scalar,f32,4194304,0,1,0.001247249,14104790.662,1.096,26.903,0.000,244,vectorized
axpy,vectorized,f32,4194304,0,1,0.001156817,30414812.445,1.017,43.509,1.089,245,vectorized
dot_product,vectorized,f32,4194304,0,1,0.000997308,35279344.085,0.876,33.645,0.992,246,vectorized
elementwise_multiply,vectorized,f32,4194304,0,1,0.002111124,8333089.882,1.855,23.841,0.960,247,vectorized
stencil_3point,vectorized,f32,4194304,0,1,0.001225688,71764535.692,1.077,41.064,0.997,248,vectorized
memory_bandwidth,vectorized,f32,4194304,0,1,0.001237045,14221136.699,1.087,27.125,1.008,249,vectorized
axpy,scalar,f32,4194304,1,1,0.001169755,30078411.371,1.028,43.028,0.000,250,vectorized
dot_product,scalar,f32,4194304,1,1,0.000994370,35383581.644,0.874,33.744,0.000,251,vectorized
